Estilo,Ano,Potencia_motor,Cilindros_motor,Consumo_estrada_km,Valor
SUV 4 portas,2005,275.0,6.0,28.96812,29695
seda,2016,170.0,4.0,61.15492,30495
minivan de passageiros,2016,248.0,6.0,45.06152,37650
seda,2015,138.0,4.0,57.93624,16170
seda,1991,162.0,4.0,32.1868,2000
picape cabine estendida,2012,152.0,4.0,37.01482,19299
perua,2016,365.0,6.0,33.79614,42600
cupe,1994,230.0,6.0,38.62416,2384
seda,1995,205.0,6.0,41.84284,2000
seda,2015,155.0,4.0,65.98294,17995
hatchback 2 portas,2015,106.0,4.0,59.54558,14845
picape cabine simples,1998,150.0,6.0,32.1868,2930
picape cabine simples,1995,134.0,4.0,30.57746,2130
seda,2007,274.0,4.0,37.01482,27995
seda,2008,264.0,6.0,38.62416,25495
seda,2009,200.0,4.0,49.88954,24770
perua,2008,253.0,6.0,35.40548,27225
seda,2016,270.0,6.0,51.49888,32690
hatchback 2 portas,2005,210.0,4.0,45.06152,23670
cupe,2017,306.0,6.0,45.06152,43010
hatchback 4 portas,2009,107.0,4.0,54.71756,14100
perua,1991,162.0,4.0,32.1868,2000
seda,2015,310.0,6.0,45.06152,65900
SUV 4 portas,2017,168.0,4.0,46.67086,23600
seda,2017,160.0,4.0,57.93624,16775
picape cabine dupla,2017,280.0,6.0,40.2335,37730
van de carga,2012,225.0,8.0,27.35878,27840
cupe,1993,200.0,4.0,40.2335,2078
SUV 4 portas,2017,284.0,6.0,43.45218,36100
van de passageiros,2014,225.0,8.0,25.74944,30230
seda,2014,305.0,4.0,37.01482,37845
SUV 4 portas,2016,184.0,4.0,48.2802,26515
seda,2013,280.0,6.0,46.67086,35905
cupe,2009,219.0,6.0,41.84284,24610
seda,2016,302.0,6.0,46.67086,53100
SUV 2 portas,2001,203.0,6.0,32.1868,21035
seda,2016,231.0,4.0,49.88954,37080
perua,2014,270.0,6.0,41.84284,44095
SUV 4 portas,2009,240.0,6.0,41.84284,23055
hatchback 4 portas,2016,138.0,4.0,59.54558,17905
hatchback 2 portas,2013,200.0,4.0,53.10822,31495
picape cabine simples,2015,285.0,6.0,38.62416,26105
SUV 4 portas,2016,241.0,4.0,45.06152,38950
hatchback 4 portas,2013,98.0,4.0,70.81096,18600
picape cabine estendida,2009,207.0,6.0,30.57746,22305
SUV 4 portas,2016,138.0,4.0,53.10822,29785
cupe,2015,526.0,8.0,33.79614,61295
SUV 4 portas,2016,240.0,6.0,49.88954,55600
hatchback 4 portas,2017,164.0,4.0,54.71756,21990
conversivel,2015,240.0,4.0,54.71756,48750
seda,2016,300.0,6.0,48.2802,25830
minivan de passageiros,2005,200.0,6.0,37.01482,28110
seda,2016,184.0,4.0,57.93624,21995
picape cabine simples,1997,200.0,6.0,32.1868,2265
SUV 4 portas,2017,240.0,4.0,48.2802,40950
hatchback 2 portas,1996,118.0,4.0,48.2802,2000
hatchback 4 portas,2016,188.0,4.0,49.88954,26940
hatchback 4 portas,2016,184.0,4.0,56.3269,25445
SUV 4 portas,2016,355.0,8.0,35.40548,60000
picape cabine estendida,2003,190.0,6.0,27.35878,23985
seda,2016,304.0,6.0,45.06152,31065
cupe,2004,200.0,6.0,40.2335,23520
seda,2016,311.0,6.0,46.67086,38750
seda,2013,265.0,4.0,40.2335,28295
seda,2017,300.0,6.0,46.67086,44650
seda,2015,138.0,4.0,59.54558,18090
